fittest, mean, closest_distance_to_mountaintop, average_time_not_on_mountain, mean_links, max_links
104.62, 133.067, 7.535, 2339.1, 7.0, 13
95.53, 128.326, 6.997, 2260.0, 4.0, 7
84.703, 130.0, 6.997, 2283.4, 3.0, 5
28.948, 114.864, 7.558, 1975.2, 2.0, 4
28.948, 114.901, 7.558, 1976.5, 2.0, 3
32.301, 115.765, 7.976, 1990.1, 3.0, 7
51.537, 127.85, 7.743, 2232.1, 3.0, 6
68.069, 129.499, 7.834, 2264.8, 4.0, 6
48.989, 127.584, 7.719, 2227.1, 4.0, 7
37.442, 117.741, 7.778, 2031.1, 4.0, 7
136.092, 136.303, 8.046, 2400.0, 3.0, 4
136.092, 136.304, 8.046, 2400.0, 3.0, 5
136.07, 136.28, 8.035, 2400.0, 3.0, 5
40.255, 126.688, 7.903, 2208.9, 4.0, 8
40.255, 126.577, 7.61, 2208.9, 7.0, 16
115.082, 133.918, 6.739, 2357.5, 6.0, 16
126.083, 135.228, 7.142, 2383.6, 10.0, 16
131.751, 135.735, 6.876, 2396.0, 11.0, 16
30.776, 125.54, 7.656, 2187.7, 14.0, 28
16.332, 114.357, 7.379, 1964.1, 13.0, 28
125.124, 134.927, 7.482, 2379.6, 11.0, 15
21.392, 113.758, 7.505, 1957.6, 13.0, 22
111.74, 132.836, 7.27, 2340.3, 10.0, 19
32.779, 111.836, 7.27, 1923.6, 13.0, 22
21.067, 113.926, 7.009, 1966.3, 10.0, 22
29.956, 113.024, 7.199, 1950.6, 9.0, 15
32.385, 121.143, 7.102, 2118.0, 9.0, 15
28.59, 124.297, 6.259, 2177.4, 8.0, 15
49.129, 123.74, 6.149, 2170.6, 8.0, 15
40.651, 126.512, 7.064, 2209.1, 4.0, 21
40.651, 117.103, 7.936, 2018.2, 6.0, 22
40.651, 117.148, 7.936, 2018.2, 3.0, 7
40.651, 92.493, 8.046, 1525.6, 3.0, 4
40.651, 80.313, 8.033, 1282.5, 3.0, 6
40.651, 116.021, 8.022, 1995.8, 2.0, 4
40.651, 109.185, 8.042, 1858.5, 3.0, 4
56.233, 128.321, 8.042, 2240.3, 2.0, 4
136.33, 136.33, 8.165, 2400.0, 3.0, 4
136.075, 136.304, 8.038, 2400.0, 3.0, 5
136.013, 136.298, 8.007, 2400.0, 3.0, 5
136.047, 136.265, 8.024, 2400.0, 4.0, 7
135.337, 136.198, 7.668, 2400.0, 5.0, 7
135.342, 136.103, 7.671, 2400.0, 6.0, 11
135.399, 136.17, 7.699, 2400.0, 4.0, 7
36.433, 126.225, 7.699, 2201.0, 4.0, 7
49.686, 127.665, 7.993, 2227.4, 4.0, 7
34.466, 122.835, 7.3, 2134.3, 4.0, 7
40.915, 121.921, 7.3, 2120.0, 5.0, 9
32.33, 96.277, 7.34, 1607.3, 5.0, 7
32.794, 118.471, 7.956, 2045.7, 7.0, 13
