fittest, mean, closest_distance_to_mountaintop, average_time_not_on_mountain, smallest_creature_size, largest_creature_size, average_creature_size, mean_links, max_links
163.411, 257.623, 6.581, 4755.7, 0.352, 1.995, 1.289, 14.0, 30
33.405, 246.36, 6.583, 4537.5, 0.352, 2.004, 1.216, 14.0, 40
31.152, 239.135, 3.854, 4392.48, 0.389, 1.911, 1.241, 13.0, 45
52.232, 248.835, 6.805, 4538.68, 0.389, 2.004, 1.486, 17.0, 124
27.296, 239.368, 6.316, 4354.7, 0.352, 2.004, 1.457, 16.0, 44
66.972, 250.489, 7.016, 4543.42, 0.352, 2.004, 1.629, 20.0, 121
36.048, 234.619, 6.463, 4240.52, 0.373, 2.004, 1.556, 17.0, 123
36.237, 221.865, 5.002, 3985.48, 0.373, 2.004, 1.493, 19.0, 81
42.037, 237.288, 5.825, 4275.44, 0.373, 2.004, 1.59, 10.0, 41
35.187, 247.352, 7.744, 4464.72, 0.373, 2.004, 1.672, 11.0, 40
38.482, 234.688, 6.405, 4204.88, 0.373, 2.004, 1.726, 10.0, 49
32.501, 234.382, 6.417, 4208.72, 0.373, 2.004, 1.674, 11.0, 40
36.201, 232.83, 5.954, 4189.9, 0.573, 2.004, 1.72, 12.0, 40
30.401, 235.662, 6.117, 4226.38, 0.773, 2.004, 1.791, 9.0, 49
31.355, 238.456, 5.556, 4290.98, 0.773, 2.004, 1.785, 10.0, 49
30.691, 235.824, 7.144, 4237.08, 0.773, 2.004, 1.761, 8.0, 49
35.418, 239.003, 5.616, 4295.74, 0.381, 2.004, 1.807, 12.0, 82
44.9, 246.707, 3.596, 4464.58, 0.381, 2.004, 1.766, 15.0, 81
38.1, 242.883, 7.544, 4359.6, 0.381, 2.004, 1.843, 10.0, 31
38.1, 243.935, 6.853, 4386.0, 0.381, 2.004, 1.813, 8.0, 23
45.301, 236.947, 5.829, 4240.82, 0.826, 2.004, 1.854, 11.0, 40
45.301, 243.653, 4.068, 4366.4, 0.826, 2.004, 1.925, 11.0, 40
38.551, 244.409, 7.211, 4389.08, 1.071, 2.004, 1.858, 9.0, 40
38.551, 244.806, 7.082, 4420.6, 0.695, 2.004, 1.722, 5.0, 16
38.551, 243.489, 6.644, 4378.36, 0.695, 2.004, 1.789, 6.0, 19
108.39, 248.464, 7.288, 4479.08, 0.695, 2.004, 1.781, 5.0, 13
36.4, 245.594, 6.769, 4454.46, 0.695, 2.004, 1.592, 5.0, 16
35.8, 232.184, 5.762, 4196.92, 0.695, 2.004, 1.587, 5.0, 14
35.701, 245.197, 6.696, 4442.44, 0.852, 2.004, 1.699, 7.0, 15
34.6, 246.641, 6.696, 4468.96, 0.972, 2.004, 1.709, 6.0, 16
126.108, 253.463, 5.919, 4593.24, 0.972, 2.004, 1.747, 5.0, 16
106.771, 242.285, 6.421, 4368.42, 0.972, 2.004, 1.744, 5.0, 19
37.001, 241.172, 6.498, 4322.86, 0.972, 2.004, 1.846, 5.0, 19
41.568, 232.89, 6.435, 4162.94, 0.972, 2.004, 1.799, 3.0, 13
40.043, 240.564, 6.528, 4322.4, 0.972, 2.004, 1.763, 5.0, 13
95.243, 251.213, 6.096, 4538.48, 0.365, 2.004, 1.74, 5.0, 13
104.173, 244.768, 6.62, 4411.06, 0.582, 2.004, 1.724, 4.0, 16
104.02, 240.426, 5.329, 4340.08, 0.565, 2.004, 1.655, 4.0, 15
118.293, 253.358, 6.996, 4619.5, 0.565, 2.004, 1.469, 3.0, 23
